ID,Xcoord,Ycoord,size,shape,cryosection_text,SampleType,Xcoord_pixel,Ycoord_pixel,Xcoord_pixel_crop,Ycoord_pixel_crop
M300784,11637.20456,19482.30058,4656,Elipse,G121eO301A,Positive,997.0546702702702,1381.18349672,434.0,680.0
M300791,11146.55684,21763.21792,4656,Elipse,G121eO301A,Positive,930.7509243243242,1674.15465728,368.0,973.0
M300707,11216.84194,15649.18748,5140,Elipse,G121eO301A,Positive,940.2489108108108,888.8414140977778,377.0,188.0
M300788,10442.08368,20914.3589,4656,Elipse,G121eO301A,Positive,835.5518486486486,1565.1234320444444,273.0,864.0
M300760,12866.49454,15050.06616,5140,Elipse,G121eO301A,Positive,1163.1749378378377,811.8876089955556,600.0,111.0
M300722,11173.1095,20408.58966,5306,Elipse,G121eO301A,Positive,934.3391216216216,1500.1601829955557,371.0,799.0
M300790,10801.29326,21241.46384,4656,Elipse,G121eO301A,Positive,884.0936837837838,1607.138244337778,321.0,906.0
M300798,12256.4919,21371.44612,5140,Elipse,G121eO301A,Positive,1080.7421486486487,1623.83374608,518.0,923.0
M300723,11634.7341,20391.95652,5306,Elipse,G121eO301A,Positive,996.7208243243242,1498.0237485688888,434.0,797.0
M300753,13884.29948,20066.12646,4815,Elipse,G121eO301A,Positive,1300.7161459459458,1456.172687528889,738.0,755.0
M300751,11931.1964,19713.76962,4976,Elipse,G121eO301A,Positive,1036.7832972972974,1410.914408968889,474.0,710.0
M300772,12192.80424,14393.51548,4815,Elipse,G121eO301A,Positive,1072.135708108108,727.5573216533334,509.0,27.0
M300738,13010.05838,17942.33102,5647,Elipse,G121eO301A,Positive,1182.5754567567567,1183.3829621244447,620.0,482.0
M300775,12941.42922,17792.20912,4815,Elipse,G121eO301A,Positive,1173.301245945946,1164.10063808,610.0,463.0
M300782,10499.6086,18348.85048,5306,Elipse,G121eO301A,Positive,843.3254864864864,1235.5981283200001,280.0,535.0
M300725,12939.0334,18128.53828,5306,Elipse,G121eO301A,Positive,1172.9774864864864,1207.3002501866667,610.0,506.0
M300795,11602.686,22068.26416,5140,Elipse,G121eO301A,Positive,992.3899999999999,1713.3361521066665,429.0,1012.0
M300756,13508.6447,19087.25324,4815,Elipse,G121eO301A,Positive,1249.9519864864865,1330.4418606044442,687.0,629.0
M300708,11879.87418,15812.03134,5140,Elipse,G121eO301A,Positive,1029.847862162162,909.7578032266666,467.0,209.0
M300778,10349.8842,16974.87142,5306,Elipse,G121eO301A,Positive,823.0924594594595,1059.11815128,260.0,358.0
M300757,13209.3237,18911.46378,4815,Elipse,G121eO301A,Positive,1209.5032027027028,1307.8626810755554,647.0,607.0
